shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence;shape_dist_traveled
12;-23.56709;-46.7275;3;1605
12;-23.56589;-46.72534;4;1865
12;-23.56524;-46.72465;5;2225
12;-23.56666;-46.72727;6;2535
12;-23.56084;-46.73074;7;3935
12;-23.56614;-46.73032;8;4650
12;-23.56827;-46.7321;9;5085
12;-23.568;-46.7405;10;6285
12;-23.56669;-46.73802;11;7885
12;-23.56668;-46.73842;12;8140
12;-23.568;-46.7405;13;9135
13;-23.568;-46.7405;1;0
13;-23.56852;-46.73181;2;1100
13;-23.56709;-46.7275;3;1605
13;-23.56589;-46.72534;4;1865
13;-23.56524;-46.72465;5;2225
13;-23.56666;-46.72727;6;2535
13;-23.56084;-46.73074;7;3935
13;-23.56614;-46.73032;8;4650
13;-23.56827;-46.7321;9;5085
13;-23.568;-46.7405;10;6285
13;-23.56669;-46.73802;11;7885
13;-23.56668;-46.73842;12;8140
13;-23.568;-46.7405;13;9135
14;-23.568;-46.7405;1;0
14;-23.56852;-46.73181;2;1100
14;-23.56709;-46.7275;3;1605
14;-23.56524;-46.72465;4;2225
14;-23.56666;-46.72727;5;2535
14;-23.55958;-46.73435;6;3935
14;-23.55941;-46.73757;7;4265
14;-23.55974;-46.73484;8;4800
14;-23.56084;-46.73074;9;5275
14;-23.56614;-46.73032;10;5990
14;-23.56827;-46.7321;11;6425
14;-23.568;-46.7405;12;7625
14;-23.56669;-46.73802;13;9225
14;-23.56668;-46.73842;14;9480
14;-23.568;-46.7405;15;10475
15;-23.568;-46.7405;1;0
15;-23.56852;-46.73181;2;1100
15;-23.56709;-46.7275;3;1605
15;-23.56589;-46.72534;4;1865
15;-23.56524;-46.72465;5;2225
15;-23.56666;-46.72727;6;2535
15;-23.56084;-46.73074;7;3935
15;-23.56614;-46.73032;8;4650
15;-23.56827;-46.7321;9;5085
15;-23.568;-46.7405;10;6285
15;-23.56669;-46.73802;11;7885
15;-23.56668;-46.73842;12;8140
15;-23.568;-46.7405;13;9135
16;-23.568;-46.7405;1;0
16;-23.56852;-46.73181;2;1100
16;-23.56709;-46.7275;3;1605
16;-23.56589;-46.72534;4;1865
16;-23.56524;-46.72465;5;2225
16;-23.56666;-46.72727;6;2535
16;-23.56084;-46.73074;7;3935
16;-23.56614;-46.73032;8;4650
16;-23.56827;-46.7321;9;5085
16;-23.568;-46.7405;10;6285
16;-23.56669;-46.73802;11;7885
16;-23.56668;-46.73842;12;8140
16;-23.568;-46.7405;13;9135
17;-23.568;-46.7405;1;0
17;-23.56852;-46.73181;2;1100
17;-23.56709;-46.7275;3;1605
17;-23.56524;-46.72465;4;2225
17;-23.56666;-46.72727;5;2535
17;-23.55958;-46.73435;6;3935
17;-23.55941;-46.73757;7;4265
17;-23.55974;-46.73484;8;4800
17;-23.56084;-46.73074;9;5275
17;-23.56614;-46.73032;10;5990
17;-23.56827;-46.7321;11;6425
17;-23.568;-46.7405;12;7625
17;-23.56669;-46.73802;13;9225
17;-23.56668;-46.73842;14;9480
17;-23.568;-46.7405;15;10475
18;-23.568;-46.7405;1;0
18;-23.56852;-46.73181;2;1100
18;-23.56709;-46.7275;3;1605
18;-23.56589;-46.72534;4;1865
18;-23.56524;-46.72465;5;2225
18;-23.56666;-46.72727;6;2535
18;-23.56084;-46.73074;7;3935
18;-23.56614;-46.73032;8;4650
18;-23.56827;-46.7321;9;5085
18;-23.568;-46.7405;10;6285
18;-23.56669;-46.73802;11;7885
18;-23.56668;-46.73842;12;8140
18;-23.568;-46.7405;13;9135
19;-23.568;-46.7405;1;0
19;-23.56852;-46.73181;2;1100
19;-23.56709;-46.7275;3;1605
19;-23.56589;-46.72534;4;1865
19;-23.56524;-46.72465;5;2225
19;-23.56666;-46.72727;6;2535
19;-23.56084;-46.73074;7;3935
19;-23.56614;-46.73032;8;4650
19;-23.56827;-46.7321;9;5085
19;-23.568;-46.7405;10;6285
19;-23.56669;-46.73802;11;7885
19;-23.56668;-46.73842;12;8140
19;-23.568;-46.7405;13;9135
20;-23.568;-46.7405;1;0
20;-23.56852;-46.73181;2;1100
20;-23.56709;-46.7275;3;1605
20;-23.56589;-46.72534;4;1865
20;-23.56524;-46.72465;5;2225
20;-23.56666;-46.72727;6;2535
20;-23.56084;-46.73074;7;3935
20;-23.56614;-46.73032;8;4650
20;-23.56827;-46.7321;9;5085
20;-23.568;-46.7405;10;6285
20;-23.56669;-46.73802;11;7885
20;-23.56668;-46.73842;12;8140
20;-23.568;-46.7405;13;9135
21;-23.568;-46.7405;1;0
21;-23.56852;-46.73181;2;1100
21;-23.56709;-46.7275;3;1605
21;-23.56589;-46.72534;4;1865
21;-23.56524;-46.72465;5;2225
21;-23.56666;-46.72727;6;2535
21;-23.56084;-46.73074;7;3935
21;-23.56614;-46.73032;8;4650
21;-23.56827;-46.7321;9;5085
21;-23.568;-46.7405;10;6285
21;-23.56669;-46.73802;11;7885
21;-23.56668;-46.73842;12;8140
21;-23.568;-46.7405;13;9135
22;-23.568;-46.7405;1;0
22;-23.56852;-46.73181;2;1100
22;-23.56709;-46.7275;3;1605
22;-23.56589;-46.72534;4;1865
22;-23.56524;-46.72465;5;2225
22;-23.56666;-46.72727;6;2535
22;-23.56084;-46.73074;7;3935
22;-23.56614;-46.73032;8;4650
22;-23.56827;-46.7321;9;5085
22;-23.568;-46.7405;10;6285
22;-23.56669;-46.73802;11;7885
22;-23.56668;-46.73842;12;8140
22;-23.568;-46.7405;13;9135
23;-23.568;-46.7405;1;0
23;-23.56852;-46.73181;2;1100
23;-23.56709;-46.7275;3;1605
23;-23.56589;-46.72534;4;1865
23;-23.56524;-46.72465;5;2225
23;-23.56666;-46.72727;6;2535
23;-23.56084;-46.73074;7;3935
23;-23.56614;-46.73032;8;4650
23;-23.56827;-46.7321;9;5085
23;-23.568;-46.7405;10;6285
23;-23.56669;-46.73802;11;7885
23;-23.56668;-46.73842;12;8140
23;-23.568;-46.7405;13;9135
24;-23.568;-46.7405;1;0
24;-23.56852;-46.73181;2;1100
24;-23.56709;-46.7275;3;1605
24;-23.56524;-46.72465;4;2225
24;-23.56666;-46.72727;5;2535
24;-23.55958;-46.73435;6;3935
24;-23.55941;-46.73757;7;4265
24;-23.55974;-46.73484;8;4800
24;-23.56084;-46.73074;9;5275
24;-23.56614;-46.73032;10;5990
24;-23.56827;-46.7321;11;6425
24;-23.568;-46.7405;12;7625
24;-23.56669;-46.73802;13;9225
